Time, States, Confidence
06:10:47,very_engaged, 69.83%
06:10:47,very_engaged, 70.66%
06:10:47,very_engaged, 70.84%
06:10:47,very_engaged, 70.44%
06:10:47,very_engaged, 71.10%
06:10:47,very_engaged, 70.08%
06:10:48,very_engaged, 68.68%
06:10:48,very_engaged, 68.21%
06:10:48,very_engaged, 67.85%
06:10:48,very_engaged, 67.85%
06:10:48,very_engaged, 66.79%
06:10:48,very_engaged, 64.64%
06:10:48,very_engaged, 65.24%
06:10:48,very_engaged, 65.66%
06:10:49,very_engaged, 65.88%
06:10:49,very_engaged, 66.13%
06:10:49,very_engaged, 65.73%
06:10:50,very_engaged, 65.93%
06:10:50,very_engaged, 65.90%
06:10:50,very_engaged, 66.25%
06:10:50,very_engaged, 66.58%
06:10:50,very_engaged, 67.06%
06:10:50,very_engaged, 67.02%
06:10:50,very_engaged, 67.18%
06:10:51,very_engaged, 67.26%
06:10:51,very_engaged, 67.01%
06:10:51,very_engaged, 66.42%
06:10:51,very_engaged, 66.38%
06:10:51,very_engaged, 66.49%
06:10:51,very_engaged, 66.55%
06:10:51,very_engaged, 66.51%
